type,name,module,line,snippet
function-declaration,addGhostHair,33-otthi-world-professional-core.js,5748,
function-declaration,updatePlayUsage,33-otthi-world-professional-core.js,5754,
function-declaration,buildRemoteAvatarVisual,33-otthi-world-professional-core.js,5759,
function-declaration,showWorldLoading,33-otthi-world-professional-core.js,5790,
function-declaration,showWorldLoadFailure,33-otthi-world-professional-core.js,5800,
function-declaration,applyRemoteAvatarIfChanged,34-avatar-studio-professional-v3.js,5815,
function-declaration,gameLoop,34-avatar-studio-professional-v3.js,5816,
function-declaration,multiplayerNameTexture,34-avatar-studio-professional-v3.js,5817,
function-declaration,updateLocalPlayerNameLabel,34-avatar-studio-professional-v3.js,5819,
function-declaration,updateGhostName,34-avatar-studio-professional-v3.js,5821,
function-declaration,ghostVehicleKind,34-avatar-studio-professional-v3.js,5823,
function-declaration,styleGhostVehicle,34-avatar-studio-professional-v3.js,5825,
function-declaration,createGhost,34-avatar-studio-professional-v3.js,5839,
function-declaration,updateMultiplayer,34-avatar-studio-professional-v3.js,5853,
function-declaration,setupControls,34-avatar-studio-professional-v3.js,5878,
function-declaration,pollGamepad,35-world-render-pbr-environment.js,5904,
function-declaration,stopGame,35-world-render-pbr-environment.js,5928,
function-declaration,openPauseMenu,35-world-render-pbr-environment.js,5934,
function-declaration,updateBridgeVisual,35-world-render-pbr-environment.js,5947,
function-declaration,prepareVehicleTestArea,35-world-render-pbr-environment.js,5950,
function-declaration,stepVehicleSimulation,36-modular-build-machines.js,5963,
function-declaration,roomWorldInfo,37-hero-platform-gameplay.js,6114,
function-declaration,roomHouseMarkers,37-hero-platform-gameplay.js,6115,
function-declaration,mapHouseLocations,37-hero-platform-gameplay.js,6116,
function-declaration,mapRegionsMarkup,37-hero-platform-gameplay.js,6117,
function-declaration,clearRemoteRoomEntities,37-hero-platform-gameplay.js,6118,
function-declaration,resetMobilityForRoomChange,37-hero-platform-gameplay.js,6122,
function-declaration,canChangeRoom,38-otthi-world-integration-bootstrap.js,6127,
function-declaration,focusCurrentRoom,38-otthi-world-integration-bootstrap.js,6128,
function-declaration,applyRoomWorld,38-otthi-world-integration-bootstrap.js,6129,
function-declaration,coopStreetRoutePoint,38-otthi-world-integration-bootstrap.js,6151,
function-declaration,coopPointAccessible,,6155,
function-declaration,coopMissionPreflight,,6156,
function-declaration,coopObjectiveSnapshot,,6167,
function-declaration,ensureCooperativeState,,6170,
function-declaration,coopUid,,6171,
function-declaration,coopMissionTemplate,,6172,
function-declaration,activeCoopMission,,6173,
function-declaration,activeCoopRecord,,6174,
function-declaration,activeCoopServiceJob,,6175,
function-declaration,coopParticipants,,6176,
function-declaration,coopOwnParticipant,,6177,
function-declaration,coopRoleLabel,,6178,
function-declaration,coopProgress,,6179,
function-declaration,coopEventValues,,6180,
function-declaration,coopHasEvent,,6181,
function-declaration,coopIndividualCount,,6182,
function-declaration,coopRoleCapacity,,6183,
function-declaration,coopRoleTaken,,6184,
function-declaration,coopEventSubjectId,,6185,
function-declaration,coopMedicalDestination,,6186,
function-declaration,coopRaceStandings,,6187,
function-declaration,coopRaceTargetReached,,6190,
function-declaration,coopMissionMapLocations,,6191,
function-declaration,coopServiceKind,,6196,
function-declaration,coopMissionHash,,6197,
function-declaration,coopSceneTarget,,6198,
function-declaration,coopNearestSchool,,6205,
function-declaration,coopNearestInvitableNpc,,6206,
function-declaration,coopCurrentTarget,,6207,
function-declaration,coopCurrentInstruction,,6226,
function-declaration,coopMissionProgressLabel,,6241,
function-declaration,coopMissionBriefingMarkup,,6242,
function-declaration,coopPermissionDenied,,6246,
function-declaration,bindCoopActionButton,,6248,
function-declaration,coopLocalRecord,,6249,
function-declaration,coopActiveState,,6252,
function-declaration,continueCoopMissionOffline,,6267,
function-declaration,prepareCoopMissionRuntime,,6272,
function-declaration,coopSetWaypoint,,6280,
function-declaration,onCoopServiceVehicleBoarded,,6281,
function-declaration,coopNearbyParticipantCount,,6290,
function-declaration,updateCoopFishingProgress,,6329,
function-declaration,updateCoopSchoolFollowers,,6330,
function-declaration,activateCoopRaceBots,,6331,
function-declaration,deactivateCoopRaceBots,,6332,
function-declaration,updateCoopRaceVisuals,,6333,
function-declaration,updateCoopRaceProgress,,6335,
function-declaration,removeCoopCampfire,,6355,
function-declaration,resolveCoopMissionScene,,6356,
function-declaration,resetCoopMissionNpcs,,6357,
function-declaration,completeCoopMissionLocal,,6358,
function-declaration,openCoopLobby,,6362,
function-declaration,openCoopMissionCenter,,6372,
function-declaration,createCoopOvalTrackWorld,,6384,
function-declaration,createCooperativeMissionWorld,,6398,
function-declaration,updateCoopMissions,,6408,
function-declaration,ensureOtthiWorldState,,6419,
function-declaration,updateCoopVisuals,,6422,
function-declaration,worldPbrPath,,6430,
function-declaration,configureWorldTexture,,6431,
function-declaration,loadWorldTexture,,6441,
function-declaration,ensureUv2,,6451,
function-declaration,applyPbrPack,,6455,
function-declaration,upgradeCoreMaterialsToWorldPbr,,6467,
function-declaration,improveSceneMeshMaterials,,6476,
function-declaration,otthiWorldStageMarkup,,6487,
function-declaration,openOtthiWorldCenter,,6490,
function-declaration,injectOtthiWorldButtons,,6494,
function-declaration,applyOtthiWorldRuntimeSettings,,6499,
function-declaration,otthiWorldDiagnostics,,6505,
function-declaration,worldAvatarSafeChoice,,6518,
function-declaration,disposeWorldAvatarObject,,6521,
function-declaration,clearWorldAvatarV3,,6524,
function-declaration,worldAvatarMaterial,,6529,
function-declaration,worldAvatarLayer,,6532,
function-declaration,avatarV3Box,,6535,
function-declaration,avatarV3Sphere,,6536,
function-declaration,avatarPatternColor,,6537,
function-declaration,applyWorldAvatarV3,,6538,
function-declaration,worldAvatarOptions,,6595,
function-declaration,otthiSeededRandom,,6604,
function-declaration,worldDetailAllowed,,6606,
function-declaration,createWorldInstancedDetails,,6619,
function-declaration,createWorldMushroomCluster,,6629,
function-declaration,enhanceWorldHouses,,6634,
function-declaration,createWorldAtmosphericDetails,,6645,
function-declaration,createWorldLandmarks,,6651,
function-declaration,createOtthiWorldProfessionalLayer,,6657,
function-declaration,updateOtthiWorldEnvironment,,6662,
function-declaration,registerWorldBuildRecord,,6699,
function-declaration,defaultWorldVehicleParts,,6734,
function-declaration,worldVehicleParts,,6735,
function-declaration,removeWorldVehicleModules,,6740,
function-declaration,worldVehicleModuleMaterial,,6741,
function-declaration,applyWorldVehicleModulesToGroup,,6742,
function-declaration,worldVehicleMapLocations,,6765,
function-declaration,vehicleCatalogOptions,,6782,
function-declaration,worldHeroState,,6783,
function-declaration,openWorldModularGarage,,6784,
function-declaration,heroPowerUnlocked,,6785,
function-declaration,heroPowerReady,,6787,
function-declaration,createHeroPulseVisual,,6789,
function-declaration,activateWorldHeroPower,,6795,
